unified_est_id,est_name,address,classification
10828993.0,ALBI SUSHI,6464 Yonge St None M2M 3X4,likely_restaurant
10863602.0,ALBION HEIGHTS JUNIOR MIDDLE SCHOOL - SNP,45 LYNMONT RD None M9V 3W9,likely_not_restaurant
10856507.0,ALEBRIJE,119 Harbord St None M5S 1G7,ambiguous
10815350.0,ALEEZA'S PIZZA,1768 Weston Rd None M9N 1V8,likely_restaurant
10835178.0,ALEPPO KEBAB,2075 Lawrence Ave E Unit-4 M1R 2Z4,likely_restaurant
10789406.0,ALERIA,1070 Queen St W None M6J 1H8,ambiguous
10825560.0,ALEX FARM,1965 QUEEN ST E None M4L 1H9,ambiguous
10802644.0,ALEXANDER MUIR/GLADSTONE AVE JUNIOR AND SENIOR PUBLIC SCHOOL - SNP - SNACK PROGRAM,108 Gladstone Ave None M6J 3L2,likely_not_restaurant
10863200.0,ALEXANDER STIRLING PUBLIC SCHOOL - SNP - MORNING MEAL,70 FAWCETT TRL None M1B 3A9,likely_not_restaurant
10829104.0,ALFIES MARKET,36 Baldwin St None M5T 1L3,ambiguous
10848821.0,ALFORAT IRAQI STREET FOOD,271 Yonge St None M5B 1N8,ambiguous
10830084.0,ALHAMADANI FOOD,4403 Kingston Rd Unit-101 M1E 2N2,ambiguous
10837285.0,ALI BABA CONVENIENCE STORE,1801 EGLINTON AVE W None M6E 2H8,likely_not_restaurant
10775308.0,ALI BABA'S,682 Queen St E None M4M 1G9,ambiguous
10798903.0,ALI BABA'S MIDDLE EASTERN CUISINE,1878 Weston Rd None M9N 1W1,likely_restaurant
10816594.0,ALI BABA'S MIDDLE EASTERN CUISINE,2246 Bloor St W None M6S 1N6,likely_restaurant
10775978.0,ALI BABAS,73 Queen St E None M5C 1R8,ambiguous
10864148.0,ALI'S SHAWARMA,1172 Weston Rd None M6M 4P4,likely_restaurant
10790558.0,ALI'S WEST INDIAN ROTI SHOP - FB - CNE 2025,2 STRACHAN AVE None M6K 3C3,likely_restaurant
10775347.0,ALI'S WRAPS,44 St George St None M5S 2E4,ambiguous
10816764.0,ALICE MARIE BAKERY & COFFEE,807 Gerrard St E None M4M 1Y5,likely_restaurant
10799189.0,ALICE RESTAURANT & BAR,488 College St None M6G 1A4,likely_restaurant
10683671.0,ALIJANDRO'S KITCHEN - ECC - CNE 2025,100 PRINCES BLVD None M6K 3C3,likely_restaurant
10783362.0,ALIMENTARI ITALIAN GROCERY,319 Roncesvalles Ave None M6R 2M6,ambiguous
10784548.0,ALINE NASSEH ARTISAN CHOCOLATES,877 Alness St Unit-22 M3J 2X3,ambiguous
10801963.0,ALL SPICE JERK EXPRESS,275 Dundas St W None M5T 3K1,ambiguous
10856453.0,ALL WAY CONVENIENCE AND GROCERY,237 Gerrard St E None M5A 2G1,ambiguous
10797265.0,ALL WAY CONVENIENCE STORE,900 Queen St E None M4M 1J3,likely_not_restaurant
10820713.0,ALLADIN CHICKEN SHAWARMA,2900 Warden Ave Unit-224 M1W 2S8,likely_restaurant
10811744.0,ALLAN GARDENS FOOD BANK,353 SHERBOURNE ST None M5A 2S3,likely_not_restaurant
10778991.0,ALLAN'S PASTRY SHOP,100 King St W Unit-CN0148 M5X 1K7,ambiguous
10602084.0,ALLIANCE BANQUET HALL,501 Alliance Ave None M6N 2J1,likely_not_restaurant
10777629.0,ALLIEN,400 QUEEN ST E None M5A 1T3,ambiguous
10858402.0,ALLSTAR WINGS AND RIBS,"4664 YONGE ST, Unit-23 None M2N 5M1",likely_restaurant
10775368.0,ALMINZ BAKESHOP,3799 Bathurst St None M3H 3N1,likely_restaurant
10835861.0,ALMINZ KAKANIN,6464 Yonge St Unit-121A M2M 3X4,ambiguous
10777624.0,ALO CATERING,4 Gilead Pl None M5A 3C9,likely_not_restaurant
10781551.0,ALOBAR,150 York St None M5H 3S5,ambiguous
10813319.0,ALOETTE,81 Bay St None M5E 1Z8,ambiguous
10789400.0,ALOETTE GO,2362 Yonge St None M4P 2E6,ambiguous
10811829.0,ALOETTE GO,81 Bay St None M5E 1Z8,ambiguous
10813965.0,ALOTA SEAFOODS,1490 Dundas St W None M6K 1T5,ambiguous
10805042.0,ALPHA ALTERNATIVE JUNIOR SCHOOL,20 Brant St None M5V 2M1,likely_not_restaurant
10847919.0,ALPHA CONVENIENCE AND COFFEE STORE,1167 Dupont St None M6H 2A3,ambiguous
10832338.0,ALPHA KATERING,98 Crockford Blvd None M1R 3C3,ambiguous
10778236.0,ALPHA'S SHAWARMA,598 Queen St W None M6J 1E3,likely_restaurant
10837865.0,ALPHA'S SHAWARMA,565 King St W None M5V 1M1,likely_restaurant
10851062.0,ALPHA'S SHAWARMA,245 Yonge St None M5B 1N8,likely_restaurant
10862166.0,ALPINE ESPRESSO BAR,1312 ST CLAIR AVE W None M6E 1C1,likely_restaurant
10844944.0,AM2PM EXPRESS MARKET,26 BATHURST ST None M5V 0C6,ambiguous
10808189.0,AMA KO MOMO,1228 King St W None M6K 1G4,ambiguous
10829426.0,AMADEUS PATISSERIE,1235 Bay St None M5R 3K4,ambiguous
10854564.0,AMAYA REAL INDIAN FOOD,1800 Sheppard Ave E Unit-F015 M2J 5A7,ambiguous
10822280.0,AMAZING DONUTS,3499 Bathurst St None M6A 2C5,likely_restaurant
10774371.0,AMAZING SICHUAN CUISINE,4158 KINGSTON RD None M1E 2M4,likely_restaurant
10776566.0,AMAZON YYZ (FL 26 & 28),"120 Bremner Blvd Flr-26, 28 None",ambiguous
10836653.0,AMBER KITCHEN & COFFEE,4 Boulton Ave None M4M 2J3,likely_restaurant
10852879.0,AMED SHAWARMA,8 Westmore Dr Unit-F1 M9V 3Z7,likely_restaurant
10836455.0,AMEG,152 Augusta Ave Unit-A M5T 2L5,ambiguous
